nombre,precio_viejo,precio_nuevo,codigo,imagen
"Boss Audio CH6CK Chaos Exxtreme 350-watt 2 Way Auto 6.5"" Component Speaker","1,399.00",774.25,B000J1FAFK,https://images-na.ssl-images-amazon.com/images/I/91KNmU1fH3L._SL1500_.jpg
VAK Autoestereo 3700 Desmontable Bluetooth Entrada USB SD Aux Control mp3,695,649,B07KYT6SN3,https://images-na.ssl-images-amazon.com/images/I/61l5fgdZzgL._SL1000_.jpg
Duoying 2 UNIDS Multicolor LED Neumàtico Neumàtico Vàlvulas de Vàlvula Bicicleta Coche Motocicleta Luz de NeÑn Làmpara,200,299.44,B07L8H8TFD,https://images-na.ssl-images-amazon.com/images/I/512QvGngcsL.jpg
"Pyle Bluetooth Marine Receiver Stereo - 12v Single DIN Style Boat In Dash Radio Receiver System with Digital LCD, RCA, MP3, USB, SD, Am FM Radio - Remote Control, Wiring Harness - PLRMR27BTB (Black)",600,765.95,B01MTDGIRR,https://images-na.ssl-images-amazon.com/images/I/41Phg0leANL.jpg
